* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Apr 30, 2021 8:48:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aria R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.810753	-115.1313
21.200001	84.937355	-116.9496
21.799999	85.047485	-118.6178
22.400000	85.162880	-120.1825
23.000000	85.285736	-121.7636
23.600000	85.402168	-123.4028
24.299999	85.518448	-125.2799
25.000000	85.620316	-127.0280
25.799999	85.719955	-128.9369
26.500000	85.786682	-130.5626
27.200001	85.849640	-132.1179
28.000000	85.938072	-133.8397
29.000000	86.053268	-135.9004
30.000000	86.144005	-137.7716
30.700001	86.194290	-139.0474
31.500000	86.241585	-140.4924
32.500000	86.300644	-142.1471
33.500000	86.358322	-143.7078
34.500000	86.392044	-145.2563
35.500000	86.435341	-146.7738
36.500000	86.487846	-148.3086
37.500000	86.514633	-149.6701
38.700001	86.526535	-151.2292
40.000000	86.552574	-152.8964
41.200001	86.597496	-154.2884
42.500000	86.596001	-155.5292
43.700001	86.602303	-156.8631
45.000000	86.607834	-158.4222
46.200001	86.602600	-159.5848
47.500000	86.606041	-160.8294
48.700001	86.605705	-161.9821
50.000000	86.601860	-163.0001
51.500000	86.567245	-164.3113
53.000000	86.551544	-165.5237
54.500000	86.515205	-166.7600
56.000000	86.491333	-167.8634
58.000000	86.467270	-169.1653
60.000000	86.392632	-170.5468
61.500000	86.377777	-171.4418
63.000000	86.364975	-172.3775
65.000000	86.308151	-173.6111
67.000000	86.261887	-174.5984
69.000000	86.197723	-175.6703
71.000000	86.152023	-176.6416
73.000000	86.097954	-177.5610
75.000000	86.038208	-178.4389
77.500000	85.955887	-179.3715
80.000000	85.832672	179.6632
82.500000	85.813072	178.6283
85.000000	85.725555	177.8631
87.500000	85.660210	177.0901
90.000000	85.435165	176.8409
92.500000	85.479553	175.4911
95.000000	85.402390	174.8483
97.500000	85.332474	174.2429
100.000000	85.250961	173.6859
103.000000	85.153770	173.0785
106.000000	85.048752	172.4310
109.000000	84.965385	171.7640
112.000000	84.879799	171.2885
115.000000	84.776794	170.8511
118.000000	84.677528	170.2942
122.000000	84.563324	169.7998
125.000000	84.468613	169.4760
128.000000	84.381111	169.0742
132.000000	84.267509	168.7371
136.000000	84.142189	168.3087
140.000000	84.037018	168.0847
145.000000	83.902428	167.6317
150.000000	83.755287	167.3633
155.000000	83.624557	167.1528
160.000000	83.504219	167.0327
165.000000	83.365738	166.8813
170.000000	83.260971	166.6102
175.000000	83.139648	166.5515
180.000000	83.065857	166.6787
185.000000	82.923805	166.5453
190.000000	82.816467	166.5175
195.000000	82.690102	166.6482
200.000000	82.608902	166.7606
206.000000	82.488350	166.8013
212.000000	82.389618	166.8731
218.000000	82.283287	167.1894
224.000000	82.163406	167.3289
230.000000	82.096359	167.5054
236.000000	81.965874	167.7221
243.000000	81.871056	168.0677
250.000000	81.766968	168.2939
258.000000	81.658356	168.7179
265.000000	81.560547	169.0307
272.000000	81.463509	169.3336
280.000000	81.369019	169.7812
290.000000	81.253380	170.3210
300.000000	81.132523	170.8343
307.000000	81.066338	171.2625
315.000000	80.986786	171.7554
325.000000	80.892258	172.3305
335.000000	80.803917	172.9478
345.000000	80.715103	173.5453
355.000000	80.639038	174.1605
365.000000	80.565247	174.7728
375.000000	80.491882	175.3935
387.000000	80.415039	176.1721
400.000000	80.331337	177.0006
412.000000	80.263062	177.7654
425.000000	80.196297	178.6107
437.000000	80.134094	179.3810
450.000000	80.076447	-179.7730
462.000000	80.026016	-179.0145
475.000000	79.975189	-178.1570
487.000000	79.929977	-177.3842
500.000000	79.886375	-176.5036
515.000000	79.840126	-175.5427
530.000000	79.800858	-174.5611
545.000000	79.763313	-173.5714
560.000000	79.733658	-172.5983
580.000000	79.697113	-171.2691
600.000000	79.669868	-169.9464
615.000000	79.649834	-168.9429
630.000000	79.641983	-167.9396
650.000000	79.630058	-166.5988
670.000000	79.628647	-165.2490
690.000000	79.636993	-163.8588
710.000000	79.654770	-162.4523
730.000000	79.687614	-161.0808
750.000000	79.742531	-159.8114
775.000000	79.764542	-158.4353
800.000000	79.785324	-156.6008
825.000000	79.858955	-154.7360
850.000000	79.956589	-152.9536
875.000000	80.069885	-151.2168
900.000000	80.202766	-149.5337
925.000000	80.353111	-147.9098
950.000000	80.522614	-146.3752
975.000000	80.706230	-144.9277
1000.000000	80.905663	-143.5872
1030.000000	81.155762	-142.1405
1060.000000	81.419693	-140.8697
1090.000000	81.690186	-139.7810
1120.000000	81.962372	-138.8762
1150.000000	82.232910	-138.1335
1180.000000	82.500748	-137.5334
1220.000000	82.843925	-136.9587
1250.000000	83.091034	-136.6537
1280.000000	83.330132	-136.4650
1320.000000	83.632072	-136.3226
1360.000000	83.914818	-136.3175
1400.000000	84.178055	-136.3971
1450.000000	84.480606	-136.5676
1500.000000	84.759171	-136.7863
1550.000000	85.021950	-137.0266
1600.000000	85.273895	-137.2839
1650.000000	85.518036	-137.5820
1700.000000	85.756287	-137.9193
1750.000000	85.989456	-138.3336
1800.000000	86.217278	-138.8114
1850.000000	86.439018	-139.3835
1900.000000	86.651520	-140.0412
1950.000000	86.852737	-140.7858
2000.000000	87.043320	-141.6284
2060.000000	87.250069	-142.7471
2120.000000	87.434334	-143.9649
2180.000000	87.590675	-145.2680
2240.000000	87.717148	-146.6150
2300.000000	87.816086	-147.9869
2360.000000	87.884087	-149.3418
2430.000000	87.930237	-150.8693
2500.000000	87.942451	-152.2972
2580.000000	87.924194	-153.7737
2650.000000	87.886086	-154.9040
2720.000000	87.833145	-155.8732
2800.000000	87.762909	-156.7998
2900.000000	87.670158	-157.6918
3000.000000	87.583176	-158.3345
3070.000000	87.530388	-158.6791
3150.000000	87.481102	-158.9836
3250.000000	87.435486	-159.2852
